PROBLEM_ID,TITLE_NM,TAGS_NM,SOLVED_USR,HASH_ID
,궁금한 민호,floyd–warshall graph,,1507000
,레이스,binary search greedy parametric search,,1508000
,팰린드롬 분할,dp,,1509000
,이등변 삼각형,bruteforce combinatorics math,,1510000
,숫자 만들기,ad-hoc greedy,,1511000
,주기문으로 바꾸기,bruteforce greedy string,,1512000
,경로 찾기,dp,,1513000
,자물쇠,dp,,1514000
,수 이어 쓰기,bruteforce impl string,,1515000
,게임 개발,dp graph topological sorting,,1516000
,버블 소트,ds d&c segtree sorting,,1517000
,뉴 매직 스퀘어,bipartite matching greedy,,1518000
,부분 문자열 뽑기 게임,dp game theory string,,1519000
,내리막 길,dfs dp graph traversal,,1520000
,랜덤 소트,dp math,,1521000
,문자열 교환,bruteforce sliding window,,1522000
,종점,bruteforce graph,,1523000
,세준세비,impl simulation,,1524000
,퍼즐,bfs ds graph traversal,,1525000
,가장 큰 금민수,bruteforce impl math,,1526000
,금민수의 개수,bruteforce,,1527000
,금민수의 합,bfs dp graph traversal,,1528000
,동민 수열,dp exponentiation by squaring math,,1529000
,금민수의 합,backtrack dp greedy,,1530000
,투명,impl simulation,,1531000
,동전 교환,case work,,1532000
,길의 개수,exponentiation by squaring graph math,,1533000
,다각형 자르기,dp,,1534000
,안녕,bruteforce dp knapsack,,1535000
,"Dance, Dance",flow,,1536000
,새로운 연산자,dijkstra's graph,,1537000
,공 칠하기,combinatorics gaussian elimination linear algebra math,,1538000
,이진 검색 트리,ds tree treeset,,1539000
,정사각형의 개수,math,,1540000
,잃어버린 괄호,greedy math parsing string,,1541000
,체스 연습,game theory impl sprague–grundy thm,,1542000
,문서 검색,bruteforce greedy string,,1543000
,사이클 단어,bruteforce ds hashset impl string,,1544000
,안티 팰린드롬,constructive greedy,,1545000
,평균,arithmetic math,,1546000
,공,impl simulation,,1547000
,부분 삼각 수열,bruteforce greedy sorting,,1548000
,K,ds prefix sum treeset,,1549000
,16진수,math impl,,1550000
,수열의 변화,impl math parsing simulation string,,1551000
,도미노,bruteforce permutation cycle decomposition,,1552000
,도미노 찾기,backtrack impl,,1553000
,나무 심기,combinatorics math,,1554000
,소수 만들기,bruteforce dp math number theory primality test,,1555000
,도미노2,gaussian elimination linear algebra math,,1556000
,제곱 ㄴㄴ,binary search inclusion and exclusion math number theory,,1557000
,그림의 개수,ds dsu geom graph traversal line segment intersection check,,1558000
,놀라운 미로,bfs bitmask graph traversal,,1559000
,비숍,ad-hoc arbitrary precision / big integers,,1560000
,놀이 공원,binary search parametric search,,1561000
,계단 수,bitmask dp bitfield dp,,1562000
,개근상,dp,,1563000
,팩토리얼5,math number theory,,1564000
,수학,math number theory,,1565000
,P배열,bruteforce,,1566000
,모든 사이클의 길이,,,1567000
,새,impl math,,1568000
,정사각형으로 가리기,impl,,1569000
,오세준,impl,,1570000
,단어 굴리기,crt math number theory,,1571000
,중앙값,binary search ds segtree,,1572000
,트리 인코딩,dp recursion,,1573000
,룩 어택,bipartite matching,,1574000
,졸업,bipartite matching flow,,1575000
,DNA점수,greedy sorting,,1576000
,도로의 개수,dp,,1577000
,세계 정복,binary search parametric search,,1578000
,보물 찾기,,,1579000
,위치 바꾸기,bfs graph traversal impl,,1580000
,락스타 락동호,case work,,1581000
,아티스트 이동호,dp impl knapsack,,1582000
,이동호의 트럭,,,1583000
,게임,0-1 bfs dijkstra's graph traversal,,1584000
,경찰,flow mcmf,,1585000
,목장,articulation points and bridges graph,,1586000
,이분 매칭,greedy,,1587000
,수열,d&c recursion,,1588000
,레이저,,,1589000
,캠프가는 영식,binary search bruteforce math,,1590000
,수열 복원,eulerian path graph,,1591000
,영식이와 친구들,impl simulation,,1592000
